From,To,Weight
A18,A15,0.0483
A34,A03,0.0484
A13,A34,0.0489
A50,A49,0.0489
A07,A10,0.049
A13,A11,0.0491
A26,A27,0.0491
A35,A15,0.0491
A50,A47,0.0491
A30,A14,0.0493
A45,A10,0.0499
A11,A36,0.0502
A08,A05,0.0503
A22,A22,0.0503
A05,A36,0.0504
A52,A09,0.0505
A01,A07,0.0507
A11,A46,0.0507
A13,A42,0.0507
A13,A50,0.0509
A11,A12,0.051
A22,A09,0.0511
A14,A20,0.0512
A40,A51,0.0518
A27,A40,0.052
A13,A19,0.0522
A42,A22,0.0522
A08,A46,0.0527
A45,A34,0.0529
A16,A24,0.0531
A18,A36,0.0535
A13,A20,0.0541
A35,A35,0.0543
A34,A49,0.0546
A39,A14,0.0546
A07,A35,0.0547
A08,A17,0.0547
A49,A22,0.0552
A06,A10,0.0553
A16,A10,0.0553
A03,A40,0.0555
A16,A13,0.0555
A14,A18,0.0558
A26,A47,0.0558
A05,A30,0.056
A08,A24,0.056
A51,A51,0.056
A14,A37,0.0561
A05,A33,0.0564
A44,A28,0.0582
A27,A27,0.0587
A26,A31,0.059
A01,A44,0.0591
A19,A27,0.0592
A50,A20,0.0602
A23,A06,0.0603
A39,A40,0.0603
A44,A29,0.0605
A14,A10,0.0606
A10,A10,0.0609
A11,A27,0.0609
A13,A23,0.061
A17,A27,0.0613
A39,A47,0.0614
A03,A26,0.0618
A08,A04,0.0624
A08,A52,0.0624
A11,A10,0.063
A34,A45,0.064
A05,A49,0.0641
A49,A11,0.0642
A05,A37,0.0645
A19,A23,0.0645
A48,A10,0.0647
A07,A15,0.0648
A13,A46,0.0651
A39,A50,0.0651
A39,A26,0.0654
A39,A46,0.0655
A39,A39,0.0658
A08,A15,0.066
A13,A41,0.0662
A43,A22,0.0663
